ticker,company_name,sector,year,target_timestamp,acquisition_status,failure_reason,eligible_page_count,capture_count,eligible_capture_count,selected_capture_timestamp,selected_original_url,selected_replay_url
AAPL,Apple,Technology,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AAPL,Apple,Technology,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABBV,AbbVie,Healthcare,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
ABT,Abbott Laboratories,Healthcare,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AMZN,Amazon,Consumer Discretionary,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2018,2018-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2019,2019-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2020,2020-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2021,2021-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2022,2022-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2023,2023-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AVGO,Broadcom,Technology,2024,2024-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
AXP,American Express,Financials,2016,2016-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2017,2017-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2018,2018-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2019,2019-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2020,2020-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2021,2021-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2022,2022-06-30T12:00:00+00:00,no_cdx_capture,no same-year CDX capture,1,0,0,,,
AXP,American Express,Financials,2023,2023-06-30T12:00:00+00:00,selected,,1,9,9,2023-06-09T19:23:34+00:00,https://www.americanexpress.com/en-us/company/who-we-are/,https://web.archive.org/web/20230609192334id_/https://www.americanexpress.com/en-us/company/who-we-are/
AXP,American Express,Financials,2024,2024-06-30T12:00:00+00:00,selected,,1,44,44,2024-07-18T06:57:11+00:00,https://www.americanexpress.com/en-us/company/who-we-are/,https://web.archive.org/web/20240718065711id_/https://www.americanexpress.com/en-us/company/who-we-are/
BAC,Bank of America,Financials,2016,2016-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
BAC,Bank of America,Financials,2017,2017-06-30T12:00:00+00:00,discovery_incomplete,CDX cache missing or all relevant discovery queries failed,1,0,0,,,
