ticker,company_name,sector,year
MSFT,Microsoft,Technology,2016
MSFT,Microsoft,Technology,2017
MSFT,Microsoft,Technology,2018
MSFT,Microsoft,Technology,2019
MSFT,Microsoft,Technology,2020
MSFT,Microsoft,Technology,2021
MSFT,Microsoft,Technology,2022
MSFT,Microsoft,Technology,2023
MSFT,Microsoft,Technology,2024
AAPL,Apple,Technology,2016
AAPL,Apple,Technology,2017
AAPL,Apple,Technology,2018
AAPL,Apple,Technology,2019
AAPL,Apple,Technology,2020
AAPL,Apple,Technology,2021
AAPL,Apple,Technology,2022
AAPL,Apple,Technology,2023
AAPL,Apple,Technology,2024
NVDA,NVIDIA,Technology,2016
NVDA,NVIDIA,Technology,2017
NVDA,NVIDIA,Technology,2018
NVDA,NVIDIA,Technology,2019
NVDA,NVIDIA,Technology,2020
NVDA,NVIDIA,Technology,2021
NVDA,NVIDIA,Technology,2022
NVDA,NVIDIA,Technology,2023
NVDA,NVIDIA,Technology,2024
GOOGL,Alphabet,Technology,2016
GOOGL,Alphabet,Technology,2017
GOOGL,Alphabet,Technology,2018
GOOGL,Alphabet,Technology,2019
GOOGL,Alphabet,Technology,2020
GOOGL,Alphabet,Technology,2021
GOOGL,Alphabet,Technology,2022
GOOGL,Alphabet,Technology,2023
GOOGL,Alphabet,Technology,2024
META,Meta Platforms,Technology,2016
META,Meta Platforms,Technology,2017
META,Meta Platforms,Technology,2018
META,Meta Platforms,Technology,2019
META,Meta Platforms,Technology,2020
META,Meta Platforms,Technology,2021
META,Meta Platforms,Technology,2022
META,Meta Platforms,Technology,2023
META,Meta Platforms,Technology,2024
AVGO,Broadcom,Technology,2016
AVGO,Broadcom,Technology,2017
AVGO,Broadcom,Technology,2018
AVGO,Broadcom,Technology,2019
AVGO,Broadcom,Technology,2020
AVGO,Broadcom,Technology,2021
AVGO,Broadcom,Technology,2022
AVGO,Broadcom,Technology,2023
AVGO,Broadcom,Technology,2024
CRM,Salesforce,Technology,2016
CRM,Salesforce,Technology,2017
CRM,Salesforce,Technology,2018
CRM,Salesforce,Technology,2019
CRM,Salesforce,Technology,2020
CRM,Salesforce,Technology,2021
CRM,Salesforce,Technology,2022
CRM,Salesforce,Technology,2023
CRM,Salesforce,Technology,2024
ORCL,Oracle,Technology,2016
ORCL,Oracle,Technology,2017
ORCL,Oracle,Technology,2018
ORCL,Oracle,Technology,2019
ORCL,Oracle,Technology,2020
ORCL,Oracle,Technology,2021
ORCL,Oracle,Technology,2022
ORCL,Oracle,Technology,2023
ORCL,Oracle,Technology,2024
IBM,IBM,Technology,2016
IBM,IBM,Technology,2017
IBM,IBM,Technology,2018
IBM,IBM,Technology,2019
IBM,IBM,Technology,2020
IBM,IBM,Technology,2021
IBM,IBM,Technology,2022
IBM,IBM,Technology,2023
