ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
MSFT,2016,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312516740758/d243670ddef14a.htm,part2_lived_values/data/raw/filings/msft_2016_000119312516740758.htm,1170180,5b2cf72f74ea9f1a5dde2109f590f39553ad328d4cc9e6f1ac953031da0a31ab,
MSFT,2017,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951/d461626ddef14a.htm,part2_lived_values/data/raw/filings/msft_2017_000119312517310951.htm,1471019,991c842390ff72200bac79978059e252af49912007cdfd1611f105fa47aa8e88,
MSFT,2018,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312518300115/d588721ddef14a.htm,part2_lived_values/data/raw/filings/msft_2018_000119312518300115.htm,1636454,e104e68cd83967b2d32c1f26055ea45dbdc529fd742a67c78af164083f902ed4,
MSFT,2019,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312519268531/d791036ddef14a.htm,part2_lived_values/data/raw/filings/msft_2019_000119312519268531.htm,1773318,11e7350c1b8df922dd5878d02d4fa98c3a2c94f1679dacbd881389b012b74f7c,
MSFT,2020,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025/d31295ddef14a.htm,part2_lived_values/data/raw/filings/msft_2020_000119312520272025.htm,1881362,6f859ac5e6058ec42c28944ffca83e8354a71967de6ea9f57df8fcae1f66f6e5,
MSFT,2021,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757/d189481ddef14a.htm,part2_lived_values/data/raw/filings/msft_2021_000119312521298757.htm,2078086,da897e816ac778729d8e1a185dbceb5ccb0d6ec0f43a42f41d86ada679394980,
MSFT,2022,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484/d318171ddef14a.htm,part2_lived_values/data/raw/filings/msft_2022_000119312522270484.htm,1854464,12aa0dd9ac78f7d2360939baaf4aee703d443ca5d8c6f4b037afc0546efe7305,
MSFT,2023,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/d356108ddef14a.htm,part2_lived_values/data/raw/filings/msft_2023_000119312523259247.htm,2164640,89da0abcc799f9dc8ee400456fdbc260a7f803f472767e77f26df3fc619ec321,
MSFT,2024,collected,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/d858775ddef14a.htm,part2_lived_values/data/raw/filings/msft_2024_000119312524242883.htm,2271395,27e39040c32334fd3eb1c0167efbd3a8dc1ca2a819d2d62197950fd54d48b44c,
AAPL,2016,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2016_000119312516422528.htm,936928,f512612b5b4588c0f79d2ea674b1c1e13bfc52b4e3782384e88246ad74455b80,
AAPL,2017,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312517003753/d257185ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2017_000119312517003753.htm,800791,594be61268d2b5199f98f75224d8c5b7678fda2ff9ca30508ada7d190e46d1cc,
AAPL,2018,missing,,,0,,no_def14a_filing_for_calendar_year
AAPL,2019,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312519004664/d667873ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2019_000119312519004664.htm,657335,025da0382390c8c21c2a6c20a3ba50df914b14f2853c07e8bf11f84fcb833a6a,
AAPL,2020,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312520001450/d799303ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2020_000119312520001450.htm,713922,ece4d99fac5f7da0472a9a0aeb4eedb0c1c659188cc40b35a54c958d81498617,
AAPL,2021,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312521001987/d767770ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2021_000119312521001987.htm,809546,0c326207a58bf25c984d7236c340eeba386453517669a4ee4ef4b47787879380,
AAPL,2022,collected,https://www.sec.gov/Archives/edgar/data/320193/000119312522003583/d222670ddef14a.htm,part2_lived_values/data/raw/filings/aapl_2022_000119312522003583.htm,1439998,238aeb3f7126234e15525feb48c0bd59ec839136b095d37088f1268900ab7c0c,
