ticker,cik,company_name,year,form,filing_date,report_date,accession_number,primary_document,source_url,sec_archive_url
MSFT,0000789019,Microsoft,2016,DEF 14A,2016-10-18,2016-11-30,0001193125-16-740758,d243670ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312516740758/d243670ddef14a.htm
MSFT,0000789019,Microsoft,2017,DEF 14A,2017-10-16,2017-11-29,0001193125-17-310951,d461626ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312517310951/d461626ddef14a.htm
MSFT,0000789019,Microsoft,2018,DEF 14A,2018-10-16,2018-11-28,0001193125-18-300115,d588721ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312518300115/d588721ddef14a.htm
MSFT,0000789019,Microsoft,2019,DEF 14A,2019-10-16,2019-12-04,0001193125-19-268531,d791036ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312519268531/d791036ddef14a.htm
MSFT,0000789019,Microsoft,2020,DEF 14A,2020-10-19,2020-12-02,0001193125-20-272025,d31295ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312520272025/d31295ddef14a.htm
MSFT,0000789019,Microsoft,2021,DEF 14A,2021-10-14,2021-11-30,0001193125-21-298757,d189481ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312521298757/d189481ddef14a.htm
MSFT,0000789019,Microsoft,2022,DEF 14A,2022-10-27,2022-12-13,0001193125-22-270484,d318171ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312522270484/d318171ddef14a.htm
MSFT,0000789019,Microsoft,2023,DEF 14A,2023-10-19,2023-12-07,0001193125-23-259247,d356108ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312523259247/d356108ddef14a.htm
MSFT,0000789019,Microsoft,2024,DEF 14A,2024-10-24,2024-12-10,0001193125-24-242883,d858775ddef14a.htm,https://data.sec.gov/submissions/CIK0000789019.json,https://www.sec.gov/Archives/edgar/data/789019/000119312524242883/d858775ddef14a.htm
AAPL,0000320193,Apple,2016,DEF 14A,2016-01-06,2016-02-26,0001193125-16-422528,d79474ddef14a.htm,https://data.sec.gov/submissions/CIK0000320193.json,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm
AAPL,0000320193,Apple,2017,DEF 14A,2017-01-06,2017-02-28,0001193125-17-003753,d257185ddef14a.htm,https://data.sec.gov/submissions/CIK0000320193.json,https://www.sec.gov/Archives/edgar/data/320193/000119312517003753/d257185ddef14a.htm
