ticker,company_name,sector,theme_id,theme_label,first_year,last_year,first_rate_per_10k_words,last_rate_per_10k_words,change_per_10k_words,observed_years
AAPL,Apple,Technology,collaboration_and_partnership,Collaboration and partnership,2016,2024,0.846203,4.329379,3.483177,8
AAPL,Apple,Technology,customers_and_service,Customers and service,2016,2024,7.615824,13.204606,5.588782,8
AAPL,Apple,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,23.059023,61.693653,38.63463,8
AAPL,Apple,Technology,employees_and_workplace,Employees and workplace,2016,2024,21.789719,34.418564,12.628846,8
AAPL,Apple,Technology,environment_and_sustainability,Environment and sustainability,2016,2024,12.269939,14.070482,1.800544,8
AAPL,Apple,Technology,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,5.077216,12.5552,7.477984,8
AAPL,Apple,Technology,innovation_and_excellence,Innovation and excellence,2016,2024,2.115507,6.494069,4.378562,8
AAPL,Apple,Technology,integrity_and_ethics,Integrity and ethics,2016,2024,2.750159,13.204606,10.454448,8
AAPL,Apple,Technology,leadership_and_accountability,Leadership and accountability,2016,2024,15.443199,30.738592,15.295393,8
AAPL,Apple,Technology,purpose_and_identity,Purpose and identity,2016,2024,0.423101,4.545848,4.122747,8
AAPL,Apple,Technology,shareholders_and_performance,Shareholders and performance,2016,2024,55.426275,51.303143,-4.123131,8
AAPL,Apple,Technology,social_impact_and_community,Social impact and community,2016,2024,0.634652,8.875227,8.240575,8
ABBV,AbbVie,Healthcare,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.531788,3.464933,0.933145,9
ABBV,AbbVie,Healthcare,customers_and_service,Customers and service,2016,2024,18.003826,29.961478,11.957652,9
ABBV,AbbVie,Healthcare,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,17.159896,25.885087,8.72519,9
ABBV,AbbVie,Healthcare,employees_and_workplace,Employees and workplace,2016,2024,19.410375,24.458349,5.047975,9
ABBV,AbbVie,Healthcare,environment_and_sustainability,Environment and sustainability,2016,2024,3.094408,15.694108,12.5997,9
ABBV,AbbVie,Healthcare,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,13.22156,14.267371,1.045811,9
ABBV,AbbVie,Healthcare,innovation_and_excellence,Innovation and excellence,2016,2024,1.687859,9.171881,7.484022,9
ABBV,AbbVie,Healthcare,integrity_and_ethics,Integrity and ethics,2016,2024,14.065489,13.859731,-0.205758,9
ABBV,AbbVie,Healthcare,leadership_and_accountability,Leadership and accountability,2016,2024,18.847755,22.216334,3.368579,9
ABBV,AbbVie,Healthcare,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.815278,0.815278,9
ABBV,AbbVie,Healthcare,shareholders_and_performance,Shareholders and performance,2016,2024,4.219647,9.375701,5.156054,9
ABBV,AbbVie,Healthcare,social_impact_and_community,Social impact and community,2016,2024,2.531788,2.649655,0.117867,9
ABT,Abbott Laboratories,Healthcare,collaboration_and_partnership,Collaboration and partnership,2016,2024,0.902418,1.856025,0.953607,9
ABT,Abbott Laboratories,Healthcare,customers_and_service,Customers and service,2016,2024,17.747563,16.439083,-1.308481,9
ABT,Abbott Laboratories,Healthcare,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,28.576585,34.469044,5.892459,9
ABT,Abbott Laboratories,Healthcare,employees_and_workplace,Employees and workplace,2016,2024,17.747563,18.029962,0.282398,9
ABT,Abbott Laboratories,Healthcare,environment_and_sustainability,Environment and sustainability,2016,2024,4.512092,13.787618,9.275525,9
ABT,Abbott Laboratories,Healthcare,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,5.414511,6.893809,1.479298,9
ABT,Abbott Laboratories,Healthcare,innovation_and_excellence,Innovation and excellence,2016,2024,1.504031,7.424102,5.920071,9
ABT,Abbott Laboratories,Healthcare,integrity_and_ethics,Integrity and ethics,2016,2024,9.625797,8.484688,-1.141109,9
ABT,Abbott Laboratories,Healthcare,leadership_and_accountability,Leadership and accountability,2016,2024,26.170136,21.211719,-4.958416,9
ABT,Abbott Laboratories,Healthcare,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.265146,0.265146,9
ABT,Abbott Laboratories,Healthcare,shareholders_and_performance,Shareholders and performance,2016,2024,47.527373,47.991515,0.464142,9
ABT,Abbott Laboratories,Healthcare,social_impact_and_community,Social impact and community,2016,2024,0.300806,0.795439,0.494633,9
AMZN,Amazon,Consumer Discretionary,collaboration_and_partnership,Collaboration and partnership,2016,2024,0.517759,4.942611,4.424852,9
AMZN,Amazon,Consumer Discretionary,customers_and_service,Customers and service,2016,2024,17.086052,34.323686,17.237635,9
AMZN,Amazon,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,9.837424,36.520402,26.682978,9
AMZN,Amazon,Consumer Discretionary,employees_and_workplace,Employees and workplace,2016,2024,9.319664,44.620792,35.301127,9
AMZN,Amazon,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2016,2024,20.192606,44.071613,23.879007,9
AMZN,Amazon,Consumer Discretionary,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,10.355183,34.323686,23.968503,9
AMZN,Amazon,Consumer Discretionary,innovation_and_excellence,Innovation and excellence,2016,2024,4.142073,6.178263,2.03619,9
AMZN,Amazon,Consumer Discretionary,integrity_and_ethics,Integrity and ethics,2016,2024,6.21311,11.120874,4.907765,9
AMZN,Amazon,Consumer Discretionary,leadership_and_accountability,Leadership and accountability,2016,2024,46.080563,44.346202,-1.734361,9
AMZN,Amazon,Consumer Discretionary,purpose_and_identity,Purpose and identity,2016,2024,1.035518,0.274589,-0.760929,9
AMZN,Amazon,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2016,2024,71.96852,72.217036,0.248515,9
AMZN,Amazon,Consumer Discretionary,social_impact_and_community,Social impact and community,2016,2024,1.553277,21.006096,19.452818,9
AVGO,Broadcom,Technology,collaboration_and_partnership,Collaboration and partnership,2019,2024,2.207151,2.301496,0.094345,6
AVGO,Broadcom,Technology,customers_and_service,Customers and service,2019,2024,9.430555,7.479862,-1.950693,6
AVGO,Broadcom,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2019,2024,22.874112,35.960875,13.086762,6
AVGO,Broadcom,Technology,employees_and_workplace,Employees and workplace,2019,2024,34.511818,22.151899,-12.35992,6
AVGO,Broadcom,Technology,environment_and_sustainability,Environment and sustainability,2019,2024,1.605201,8.918297,7.313096,6
AVGO,Broadcom,Technology,health_safety_and_wellbeing,"Health, safety, and wellbeing",2019,2024,3.009752,3.452244,0.442492,6
AVGO,Broadcom,Technology,innovation_and_excellence,Innovation and excellence,2019,2024,2.407801,5.178366,2.770565,6
AVGO,Broadcom,Technology,integrity_and_ethics,Integrity and ethics,2019,2024,4.414302,5.75374,1.339438,6
AVGO,Broadcom,Technology,leadership_and_accountability,Leadership and accountability,2019,2024,14.647458,25.028769,10.381311,6
AVGO,Broadcom,Technology,purpose_and_identity,Purpose and identity,2019,2024,0.0,0.287687,0.287687,6
AVGO,Broadcom,Technology,shareholders_and_performance,Shareholders and performance,2019,2024,4.013002,4.027618,0.014616,6
AVGO,Broadcom,Technology,social_impact_and_community,Social impact and community,2019,2024,0.0,0.287687,0.287687,6
AXP,American Express,Financials,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.378084,3.12998,0.751896,9
AXP,American Express,Financials,customers_and_service,Customers and service,2016,2024,18.707591,18.21079,-0.496801,9
AXP,American Express,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,19.817363,22.336672,2.519309,9
AXP,American Express,Financials,employees_and_workplace,Employees and workplace,2016,2024,25.841842,18.353062,-7.48878,9
AXP,American Express,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,5.548862,14.653995,9.105133,9
AXP,American Express,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,8.71964,8.820851,0.101212,9
AXP,American Express,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,7.29279,2.845436,-4.447354,9
AXP,American Express,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,5.86594,5.264056,-0.601883,9
AXP,American Express,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,25.524764,26.604826,1.080062,9
AXP,American Express,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.569087,0.569087,9
AXP,American Express,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,42.964043,54.63237,11.668326,9
AXP,American Express,Financials,social_impact_and_community,Social impact and community,2016,2024,3.487856,3.556795,0.068939,9
BAC,Bank of America,Financials,collaboration_and_partnership,Collaboration and partnership,2016,2024,3.221946,3.217688,-0.004258,9
BAC,Bank of America,Financials,customers_and_service,Customers and service,2016,2024,26.005707,25.166918,-0.83879,9
BAC,Bank of America,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,24.164595,35.624404,11.459808,9
BAC,Bank of America,Financials,employees_and_workplace,Employees and workplace,2016,2024,20.022093,31.947046,11.924953,9
BAC,Bank of America,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,10.126116,30.338202,20.212086,9
BAC,Bank of America,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,4.60278,5.975706,1.372926,9
BAC,Bank of America,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,1.841112,3.447523,1.606411,9
BAC,Bank of America,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,4.60278,5.171284,0.568504,9
BAC,Bank of America,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,34.520851,36.658661,2.13781,9
BAC,Bank of America,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.230139,1.149174,0.919035,9
BAC,Bank of America,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,3.221946,58.722808,55.500862,9
BAC,Bank of America,Financials,social_impact_and_community,Social impact and community,2016,2024,2.531529,6.780128,4.248599,9
BMY,Bristol-Myers Squibb,Healthcare,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.086028,5.579557,3.493529,9
BMY,Bristol-Myers Squibb,Healthcare,customers_and_service,Customers and service,2016,2024,17.105428,36.187409,19.081981,9
BMY,Bristol-Myers Squibb,Healthcare,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,12.724769,38.259816,25.535047,9
BMY,Bristol-Myers Squibb,Healthcare,employees_and_workplace,Employees and workplace,2016,2024,36.088281,42.404629,6.316349,9
BMY,Bristol-Myers Squibb,Healthcare,environment_and_sustainability,Environment and sustainability,2016,2024,2.711836,16.579254,13.867417,9
BMY,Bristol-Myers Squibb,Healthcare,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,4.380658,15.94159,11.560932,9
BMY,Bristol-Myers Squibb,Healthcare,innovation_and_excellence,Innovation and excellence,2016,2024,4.797864,13.072104,8.27424,9
BMY,Bristol-Myers Squibb,Healthcare,integrity_and_ethics,Integrity and ethics,2016,2024,7.926906,8.449043,0.522137,9
BMY,Bristol-Myers Squibb,Healthcare,leadership_and_accountability,Leadership and accountability,2016,2024,18.357045,25.028296,6.671252,9
BMY,Bristol-Myers Squibb,Healthcare,purpose_and_identity,Purpose and identity,2016,2024,0.625808,5.260725,4.634916,9
BMY,Bristol-Myers Squibb,Healthcare,shareholders_and_performance,Shareholders and performance,2016,2024,53.819517,43.201709,-10.617808,9
BMY,Bristol-Myers Squibb,Healthcare,social_impact_and_community,Social impact and community,2016,2024,0.417206,3.985398,3.568192,9
BRK.B,Berkshire Hathaway,Financials,collaboration_and_partnership,Collaboration and partnership,2016,2024,3.02054,2.469593,-0.550947,9
BRK.B,Berkshire Hathaway,Financials,customers_and_service,Customers and service,2016,2024,0.0,6.173983,6.173983,9
BRK.B,Berkshire Hathaway,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,4.027386,33.339507,29.312121,9
BRK.B,Berkshire Hathaway,Financials,employees_and_workplace,Employees and workplace,2016,2024,8.054772,28.400321,20.345549,9
BRK.B,Berkshire Hathaway,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,20.136931,43.21788,23.080949,9
BRK.B,Berkshire Hathaway,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,4.027386,20.374143,16.346757,9
BRK.B,Berkshire Hathaway,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,0.0,0.0,0.0,9
BRK.B,Berkshire Hathaway,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,10.068466,8.643576,-1.42489,9
BRK.B,Berkshire Hathaway,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,18.123238,13.582762,-4.540476,9
BRK.B,Berkshire Hathaway,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.0,0.0,9
BRK.B,Berkshire Hathaway,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,68.465566,67.913811,-0.551755,9
BRK.B,Berkshire Hathaway,Financials,social_impact_and_community,Social impact and community,2016,2024,0.0,2.469593,2.469593,9
C,Citigroup,Financials,collaboration_and_partnership,Collaboration and partnership,2016,2024,1.105,1.908534,0.803534,9
C,Citigroup,Financials,customers_and_service,Customers and service,2016,2024,18.907769,26.480903,7.573133,9
C,Citigroup,Financials,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,20.994991,36.619987,15.624996,9
C,Citigroup,Financials,employees_and_workplace,Employees and workplace,2016,2024,26.642766,29.462986,2.82022,9
C,Citigroup,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,3.192221,20.993869,17.801648,9
C,Citigroup,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,1.841666,2.743517,0.901851,9
C,Citigroup,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,1.964444,3.93635,1.971907,9
C,Citigroup,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,10.067773,8.946251,-1.121522,9
C,Citigroup,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,16.452215,27.79302,11.340805,9
C,Citigroup,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.7157,0.7157,9
C,Citigroup,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,11.049995,6.441301,-4.608694,9
C,Citigroup,Financials,social_impact_and_community,Social impact and community,2016,2024,1.473333,2.743517,1.270184,9
COP,ConocoPhillips,Energy,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.811182,3.564402,0.753219,9
COP,ConocoPhillips,Energy,customers_and_service,Customers and service,2016,2024,14.055911,11.976389,-2.079522,9
COP,ConocoPhillips,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,12.494143,21.814138,9.319994,9
COP,ConocoPhillips,Energy,employees_and_workplace,Employees and workplace,2016,2024,36.076839,44.626308,8.549469,9
COP,ConocoPhillips,Energy,environment_and_sustainability,Environment and sustainability,2016,2024,14.055911,28.372637,14.316726,9
