doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
MSFT-2016,MSFT,Microsoft,Technology,2016,0001193125-16-740758,c3d16cdb020bb28e1ff86bbbc7a40c568e41f85135ad568f639bd24a819110e1,nmf_topic_2,0.11767506,0.00950194,0.11767506,0.05703157,0.0,0.02183065,0.00421429,0.06800166,0.0
MSFT-2017,MSFT,Microsoft,Technology,2017,0001193125-17-310951,bfbf2275d9ee321bed2d0da7b5c8378ae2de70915a7b72f1eb215cfd4f00b5e3,nmf_topic_2,0.15903457,0.0,0.15903457,0.05001451,0.0,0.01140161,0.0,0.07320161,0.0
MSFT-2018,MSFT,Microsoft,Technology,2018,0001193125-18-300115,e6cedbaacf478f4b5a151baa314a15cfed4406437ddb223fdaf862a74f622c71,nmf_topic_2,0.12509156,0.0,0.12509156,0.07460183,0.0,0.0239775,0.00465617,0.06930685,0.0
MSFT-2019,MSFT,Microsoft,Technology,2019,0001193125-19-268531,ef7f6fdb40371ad12e432819aeb5105e893c7ef3c9f5761eb808f8df9bcec718,nmf_topic_7,0.24965897,0.0,0.10553621,0.01890332,0.0,0.0,0.0,0.24965897,0.0
MSFT-2020,MSFT,Microsoft,Technology,2020,0001193125-20-272025,94705b6b7ae19742fe7228e66c90b9e4d813ac64605c394bd6c30dfcfc0af8b6,nmf_topic_7,0.25869441,0.0,0.11147708,0.02122648,0.0,0.0,0.0,0.25869441,0.0
MSFT-2021,MSFT,Microsoft,Technology,2021,0001193125-21-298757,98e3eab6694be8169df7f71cc889543d32ede597737c20392ed31873a8ef62ae,nmf_topic_7,0.26717667,0.0,0.1114182,0.01126945,0.0,0.0,0.0,0.26717667,0.0
MSFT-2022,MSFT,Microsoft,Technology,2022,0001193125-22-270484,bdc82b4cc3a3d9ed337e169cf78f26c6a7f8e303937972b367c30d280a412a39,nmf_topic_7,0.30085176,0.0,0.09584981,0.0,0.0,0.0,0.0,0.30085176,0.0
MSFT-2023,MSFT,Microsoft,Technology,2023,0001193125-23-259247,e91933c2e1a34efc1308ecb1c4ba7d99225c57a7f8c6ce65027b9fd7e54be0db,nmf_topic_7,0.30447925,0.0,0.09513467,0.0,0.0,0.0,0.0,0.30447925,0.0
MSFT-2024,MSFT,Microsoft,Technology,2024,0001193125-24-242883,133336a516a54fb018403d15da8b68a05d040bab984370bd9527cf27780053de,nmf_topic_7,0.30143361,0.0,0.08750494,0.0,0.0,0.0,0.0,0.30143361,0.0
AAPL-2016,AAPL,Apple,Technology,2016,0001193125-16-422528,f47a8650d7820ac0ebc20e40e3e961fb7dcba93495cdb872bff319b1e39c8ed4,nmf_topic_2,0.0878632,0.07370122,0.0878632,0.02856529,0.0,0.0,0.03836248,0.0332092,0.0
