ticker,company_name,sector,prior_year,year,doc_id_prior,doc_id_current,cosine_similarity,semantic_distance
TGT,Target,Consumer Discretionary,2021,2022,TGT-2021,TGT-2022,0.83211815,0.16788185
VLO,Valero Energy,Energy,2021,2022,VLO-2021,VLO-2022,0.85059035,0.14940965
JPM,JPMorgan Chase,Financials,2022,2023,JPM-2022,JPM-2023,0.85719037,0.14280963
XOM,ExxonMobil,Energy,2020,2022,XOM-2020,XOM-2022,0.85781133,0.14218867
TGT,Target,Consumer Discretionary,2022,2023,TGT-2022,TGT-2023,0.8618167,0.1381833
SLB,SLB (Schlumberger),Energy,2022,2023,SLB-2022,SLB-2023,0.86195785,0.13804215
JNJ,Johnson & Johnson,Healthcare,2022,2023,JNJ-2022,JNJ-2023,0.86494958,0.13505042
MPC,Marathon Petroleum,Energy,2022,2023,MPC-2022,MPC-2023,0.86516845,0.13483155
TMO,Thermo Fisher Scientific,Healthcare,2018,2019,TMO-2018,TMO-2019,0.86534113,0.13465887
TMO,Thermo Fisher Scientific,Healthcare,2016,2017,TMO-2016,TMO-2017,0.86678863,0.13321137
PSX,Phillips 66,Energy,2021,2022,PSX-2021,PSX-2022,0.86791587,0.13208413
TGT,Target,Consumer Discretionary,2023,2024,TGT-2023,TGT-2024,0.8691988,0.1308012
TJX,TJX Companies,Consumer Discretionary,2022,2023,TJX-2022,TJX-2023,0.87080085,0.12919915
OXY,Occidental Petroleum,Energy,2023,2024,OXY-2023,OXY-2024,0.87605989,0.12394011
PSX,Phillips 66,Energy,2022,2023,PSX-2022,PSX-2023,0.87811673,0.12188327
MCD,McDonald's,Consumer Discretionary,2021,2023,MCD-2021,MCD-2023,0.88371038,0.11628962
VLO,Valero Energy,Energy,2022,2023,VLO-2022,VLO-2023,0.88385606,0.11614394
SBUX,Starbucks,Consumer Discretionary,2022,2023,SBUX-2022,SBUX-2023,0.88716865,0.11283135
OXY,Occidental Petroleum,Energy,2022,2023,OXY-2022,OXY-2023,0.88740671,0.11259329
TJX,TJX Companies,Consumer Discretionary,2021,2022,TJX-2021,TJX-2022,0.88985741,0.11014259
UNH,UnitedHealth Group,Healthcare,2022,2023,UNH-2022,UNH-2023,0.89153516,0.10846484
BRK.B,Berkshire Hathaway,Financials,2021,2022,BRK.B-2021,BRK.B-2022,0.8948195,0.1051805
BMY,Bristol-Myers Squibb,Healthcare,2022,2023,BMY-2022,BMY-2023,0.89851975,0.10148025
PFE,Pfizer,Healthcare,2022,2023,PFE-2022,PFE-2023,0.89909959,0.10090041
META,Meta Platforms,Technology,2021,2022,META-2021,META-2022,0.90041208,0.09958792
NKE,Nike,Consumer Discretionary,2022,2023,NKE-2022,NKE-2023,0.90070105,0.09929895
AAPL,Apple,Technology,2022,2023,AAPL-2022,AAPL-2023,0.90283096,0.09716904
PFE,Pfizer,Healthcare,2021,2022,PFE-2021,PFE-2022,0.90378988,0.09621012
UNH,UnitedHealth Group,Healthcare,2021,2022,UNH-2021,UNH-2022,0.90477443,0.09522557
ABT,Abbott Laboratories,Healthcare,2021,2022,ABT-2021,ABT-2022,0.90508562,0.09491438
TSLA,Tesla,Consumer Discretionary,2023,2024,TSLA-2023,TSLA-2024,0.90613055,0.09386945
GS,Goldman Sachs,Financials,2022,2023,GS-2022,GS-2023,0.91035098,0.08964902
JPM,JPMorgan Chase,Financials,2020,2021,JPM-2020,JPM-2021,0.91293871,0.08706129
AXP,American Express,Financials,2022,2023,AXP-2022,AXP-2023,0.91333318,0.08666682
HAL,Halliburton,Energy,2022,2023,HAL-2022,HAL-2023,0.91515088,0.08484912
META,Meta Platforms,Technology,2022,2023,META-2022,META-2023,0.91581523,0.08418477
PSX,Phillips 66,Energy,2023,2024,PSX-2023,PSX-2024,0.91975534,0.08024466
GOOGL,Alphabet,Technology,2022,2023,GOOGL-2022,GOOGL-2023,0.92048746,0.07951254
MS,Morgan Stanley,Financials,2022,2023,MS-2022,MS-2023,0.92078942,0.07921058
MDT,Medtronic,Healthcare,2016,2017,MDT-2016,MDT-2017,0.92177022,0.07822978
CVX,Chevron,Energy,2022,2023,CVX-2022,CVX-2023,0.92206407,0.07793593
TMO,Thermo Fisher Scientific,Healthcare,2022,2023,TMO-2022,TMO-2023,0.92214572,0.07785428
LOW,Lowe's,Consumer Discretionary,2021,2022,LOW-2021,LOW-2022,0.92323279,0.07676721
SCHW,Charles Schwab,Financials,2021,2022,SCHW-2021,SCHW-2022,0.92385674,0.07614326
GOOGL,Alphabet,Technology,2021,2022,GOOGL-2021,GOOGL-2022,0.92728376,0.07271624
LOW,Lowe's,Consumer Discretionary,2022,2023,LOW-2022,LOW-2023,0.92760581,0.07239419
