doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
META-2023,META-2024,META,META,2023,2024,Technology,Technology,True,True,1.00000012
NKE-2023,NKE-2024,NKE,NKE,2023,2024,Consumer Discretionary,Consumer Discretionary,True,True,0.99999976
JNJ-2017,JNJ-2018,JNJ,JNJ,2017,2018,Healthcare,Healthcare,True,True,0.99996233
JNJ-2018,JNJ-2019,JNJ,JNJ,2018,2019,Healthcare,Healthcare,True,True,0.99995333
JPM-2023,JPM-2024,JPM,JPM,2023,2024,Financials,Financials,True,True,0.99993908
JNJ-2017,JNJ-2019,JNJ,JNJ,2017,2019,Healthcare,Healthcare,True,True,0.99992859
UNH-2018,UNH-2019,UNH,UNH,2018,2019,Healthcare,Healthcare,True,True,0.99992013
IBM-2023,IBM-2024,IBM,IBM,2023,2024,Technology,Technology,True,True,0.99991477
UNH-2019,UNH-2021,UNH,UNH,2019,2021,Healthcare,Healthcare,True,True,0.99990761
PFE-2016,PFE-2017,PFE,PFE,2016,2017,Healthcare,Healthcare,True,True,0.99989581
UNH-2018,UNH-2021,UNH,UNH,2018,2021,Healthcare,Healthcare,True,True,0.99989343
ABT-2017,ABT-2018,ABT,ABT,2017,2018,Healthcare,Healthcare,True,True,0.99989271
BAC-2020,BAC-2021,BAC,BAC,2020,2021,Financials,Financials,True,True,0.99989128
ABT-2018,ABT-2021,ABT,ABT,2018,2021,Healthcare,Healthcare,True,True,0.99988544
ABT-2017,ABT-2020,ABT,ABT,2017,2020,Healthcare,Healthcare,True,True,0.99988496
JPM-2019,JPM-2020,JPM,JPM,2019,2020,Financials,Financials,True,True,0.99987358
ABBV-2017,ABBV-2020,ABBV,ABBV,2017,2020,Healthcare,Healthcare,True,True,0.99987286
COP-2023,COP-2024,COP,COP,2023,2024,Energy,Energy,True,True,0.99987191
UNH-2016,UNH-2017,UNH,UNH,2016,2017,Healthcare,Healthcare,True,True,0.99986911
PFE-2016,PFE-2019,PFE,PFE,2016,2019,Healthcare,Healthcare,True,True,0.99986345
TGT-2016,TGT-2017,TGT,TGT,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.9998548
HAL-2016,HAL-2017,HAL,HAL,2016,2017,Energy,Energy,True,True,0.99985415
ABT-2017,ABT-2021,ABT,ABT,2017,2021,Healthcare,Healthcare,True,True,0.99985188
AAPL-2019,AAPL-2020,AAPL,AAPL,2019,2020,Technology,Technology,True,True,0.99985117
C-2017,C-2021,C,C,2017,2021,Financials,Financials,True,True,0.99984998
GS-2019,GS-2020,GS,GS,2019,2020,Financials,Financials,True,True,0.99984741
MRK-2016,MRK-2017,MRK,MRK,2016,2017,Healthcare,Healthcare,True,True,0.9998467
F-2020,F-2021,F,F,2020,2021,Consumer Discretionary,Consumer Discretionary,True,True,0.99984372
UNH-2023,UNH-2024,UNH,UNH,2023,2024,Healthcare,Healthcare,True,True,0.99984002
ABT-2016,ABT-2018,ABT,ABT,2016,2018,Healthcare,Healthcare,True,True,0.99983633
IBM-2017,IBM-2018,IBM,IBM,2017,2018,Technology,Technology,True,True,0.9998309
PFE-2017,PFE-2019,PFE,PFE,2017,2019,Healthcare,Healthcare,True,True,0.99982691
AMZN-2023,AMZN-2024,AMZN,AMZN,2023,2024,Consumer Discretionary,Consumer Discretionary,True,True,0.99982548
ABT-2016,ABT-2019,ABT,ABT,2016,2019,Healthcare,Healthcare,True,True,0.9998216
ABT-2020,ABT-2021,ABT,ABT,2020,2021,Healthcare,Healthcare,True,True,0.99981666
PFE-2018,PFE-2020,PFE,PFE,2018,2020,Healthcare,Healthcare,True,True,0.99980962
ABT-2018,ABT-2020,ABT,ABT,2018,2020,Healthcare,Healthcare,True,True,0.99980479
ABT-2016,ABT-2021,ABT,ABT,2016,2021,Healthcare,Healthcare,True,True,0.9997775
BAC-2017,BAC-2020,BAC,BAC,2017,2020,Financials,Financials,True,True,0.99977654
NVDA-2020,NVDA-2021,NVDA,NVDA,2020,2021,Technology,Technology,True,True,0.99977565
TGT-2017,TGT-2018,TGT,TGT,2017,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99976534
TGT-2016,TGT-2018,TGT,TGT,2016,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.99976361
BAC-2017,BAC-2021,BAC,BAC,2017,2021,Financials,Financials,True,True,0.99975848
C-2017,C-2018,C,C,2017,2018,Financials,Financials,True,True,0.99975824
IBM-2016,IBM-2017,IBM,IBM,2016,2017,Technology,Technology,True,True,0.99975759
IBM-2016,IBM-2018,IBM,IBM,2016,2018,Technology,Technology,True,True,0.99975073
BRK.B-2017,BRK.B-2020,BRK.B,BRK.B,2017,2020,Financials,Financials,True,True,0.99975061
AMZN-2017,AMZN-2019,AMZN,AMZN,2017,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.99974823
C-2020,C-2021,C,C,2020,2021,Financials,Financials,True,True,0.99974781
C-2017,C-2020,C,C,2017,2020,Financials,Financials,True,True,0.99974561
BRK.B-2020,BRK.B-2021,BRK.B,BRK.B,2020,2021,Financials,Financials,True,True,0.99973083
MPC-2020,MPC-2021,MPC,MPC,2020,2021,Energy,Energy,True,True,0.99972516
ABBV-2018,ABBV-2020,ABBV,ABBV,2018,2020,Healthcare,Healthcare,True,True,0.99972242
HAL-2019,HAL-2021,HAL,HAL,2019,2021,Energy,Energy,True,True,0.99972063
BRK.B-2017,BRK.B-2021,BRK.B,BRK.B,2017,2021,Financials,Financials,True,True,0.99972045
MSFT-2018,MSFT-2019,MSFT,MSFT,2018,2019,Technology,Technology,True,True,0.99971521
CVX-2017,CVX-2019,CVX,CVX,2017,2019,Energy,Energy,True,True,0.99971521
C-2018,C-2021,C,C,2018,2021,Financials,Financials,True,True,0.99971509
ABT-2016,ABT-2017,ABT,ABT,2016,2017,Healthcare,Healthcare,True,True,0.99971175
HAL-2017,HAL-2018,HAL,HAL,2017,2018,Energy,Energy,True,True,0.99970949
MSFT-2019,MSFT-2021,MSFT,MSFT,2019,2021,Technology,Technology,True,True,0.99970788
NKE-2016,NKE-2017,NKE,NKE,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.99970192
XOM-2019,XOM-2020,XOM,XOM,2019,2020,Energy,Energy,True,True,0.99970049
MSFT-2018,MSFT-2021,MSFT,MSFT,2018,2021,Technology,Technology,True,True,0.99969989
WFC-2017,WFC-2020,WFC,WFC,2017,2020,Financials,Financials,True,True,0.99969506
