doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,spacy_model,spacy_model_version,representative_text_sha256,token_count,sentence_count,entity_count,org_entity_count,person_entity_count,money_entity_count,percent_entity_count,noun_rate,verb_rate,proper_noun_rate,modal_count
MSFT-2016,MSFT,Microsoft,Technology,2016,0001193125-16-740758,c3d16cdb020bb28e1ff86bbbc7a40c568e41f85135ad568f639bd24a819110e1,en_core_web_sm,3.8.0,bec03ad6740e6618cb4c8aaa85d94dba4658c8e2c32bb8148c120275e1035efb,1581,58,106,39,4,0,4,0.18026565,0.10499684,0.14800759,22
MSFT-2017,MSFT,Microsoft,Technology,2017,0001193125-17-310951,bfbf2275d9ee321bed2d0da7b5c8378ae2de70915a7b72f1eb215cfd4f00b5e3,en_core_web_sm,3.8.0,c82918e29c8d9dd75d18bffd0290d145656a94bedc96afd541d6776efbe5321b,1607,60,120,56,14,0,0,0.17672682,0.0914748,0.17548227,15
MSFT-2018,MSFT,Microsoft,Technology,2018,0001193125-18-300115,e6cedbaacf478f4b5a151baa314a15cfed4406437ddb223fdaf862a74f622c71,en_core_web_sm,3.8.0,04ae9c2c7ed0aacb8ba6712b14c08ff4a5bd36ffc0749356886c8ee4fab58f15,1635,63,108,44,4,0,1,0.17981651,0.09969419,0.14678899,17
MSFT-2019,MSFT,Microsoft,Technology,2019,0001193125-19-268531,ef7f6fdb40371ad12e432819aeb5105e893c7ef3c9f5761eb808f8df9bcec718,en_core_web_sm,3.8.0,878200836bf522bbf3f6b2f804442494633ad49a7812ebfeff46e03d01335a29,1676,56,112,36,6,9,10,0.174821,0.08651551,0.14677804,20
MSFT-2020,MSFT,Microsoft,Technology,2020,0001193125-20-272025,94705b6b7ae19742fe7228e66c90b9e4d813ac64605c394bd6c30dfcfc0af8b6,en_core_web_sm,3.8.0,13f5e632e3b4918ef55bd115da2ff073def4ae940aadf13b064f768c25de0a86,1657,54,106,32,4,5,6,0.16777308,0.09957755,0.14242607,21
MSFT-2021,MSFT,Microsoft,Technology,2021,0001193125-21-298757,98e3eab6694be8169df7f71cc889543d32ede597737c20392ed31873a8ef62ae,en_core_web_sm,3.8.0,44f8d33658bcc5a06138463d76274d2ce7376fab59f8bd7ffc3254f82570e341,1640,51,94,38,4,1,0,0.16463415,0.10121951,0.14817073,19
MSFT-2022,MSFT,Microsoft,Technology,2022,0001193125-22-270484,bdc82b4cc3a3d9ed337e169cf78f26c6a7f8e303937972b367c30d280a412a39,en_core_web_sm,3.8.0,a87218dc2c67b9228345bc09a8d47e62611ba91742b877d8afd06304f87af186,1586,50,93,44,4,1,1,0.16708701,0.09709962,0.1481715,19
MSFT-2023,MSFT,Microsoft,Technology,2023,0001193125-23-259247,e91933c2e1a34efc1308ecb1c4ba7d99225c57a7f8c6ce65027b9fd7e54be0db,en_core_web_sm,3.8.0,f2dc360446e409c08dfaa76a80932d608ee0fb88990d28655df2c5d98ed6e442,1610,53,93,41,6,1,1,0.17204969,0.09378882,0.15093168,22
MSFT-2024,MSFT,Microsoft,Technology,2024,0001193125-24-242883,133336a516a54fb018403d15da8b68a05d040bab984370bd9527cf27780053de,en_core_web_sm,3.8.0,9958f30e46500d484922eecae2cb46efc7e6e7659e0a2af857d36d7059270995,1597,50,86,41,3,1,1,0.17470257,0.09580463,0.14652473,20
AAPL-2016,AAPL,Apple,Technology,2016,0001193125-16-422528,f47a8650d7820ac0ebc20e40e3e961fb7dcba93495cdb872bff319b1e39c8ed4,en_core_web_sm,3.8.0,dbdcef990d02c57a86e036da36b0e46bb42c324983bfcccde6279ea0d7ff0379,1592,53,156,54,21,3,6,0.16771357,0.09736181,0.22550251,6
AAPL-2017,AAPL,Apple,Technology,2017,0001193125-17-003753,3a2c643257710e31ca83aeb57cb2b639def5965da00505b60e62b561abfa1a16,en_core_web_sm,3.8.0,53fae6e7b2e40164d5d87cbe3f150f5d71ef37d660b89921da9f015aeed54080,1606,59,166,40,14,3,3,0.15566625,0.05853051,0.26089664,1
AAPL-2019,AAPL,Apple,Technology,2019,0001193125-19-004664,fe16f17ab54a3ad72d0e182f07f1a8652f80b86323329549be2a41d12608dc4e,en_core_web_sm,3.8.0,61b0e402b1b03620aaec58b2ad24faa10ee5cd968d0f1b3daee800d137aca6d2,1631,51,159,46,15,5,6,0.15450644,0.08338443,0.22378909,10
AAPL-2020,AAPL,Apple,Technology,2020,0001193125-20-001450,66718f6df5ae372e4a1ebdb15335f523e6222fd5c90535b8f70e9db1fb2be73d,en_core_web_sm,3.8.0,cffbb552d1cd7dfc2667f7302ac8da1be7db10723456508a4e94027c8847a6ff,1613,65,156,42,13,0,0,0.13887167,0.06757595,0.26348419,10
AAPL-2021,AAPL,Apple,Technology,2021,0001193125-21-001987,8cba184b803455958373265e60f6c83b254c42bfca146944f0dc633b623a2708,en_core_web_sm,3.8.0,35ab9d77fdbc047a655c8fa756a884707c6809317839e37cf14193b5fac6cb88,1611,54,160,54,13,0,1,0.14400993,0.07572936,0.23587834,5
AAPL-2022,AAPL,Apple,Technology,2022,0001193125-22-003583,f4dcb85d8ec10283f6c778c95cb6fd6856319b21ce1c1ccb9e7e5d5563db36ec,en_core_web_sm,3.8.0,481fe4d9c9427d1103521e5c45eda1227387299e70f20075f2509670cbc29de8,1579,51,110,32,12,0,0,0.16909436,0.07853072,0.22102597,10
AAPL-2023,AAPL,Apple,Technology,2023,0001308179-23-000019,7cf39402dc027106cd293b75b543f9f43876402bc40c722912f8eaa36cdf9d74,en_core_web_sm,3.8.0,66695aaf134b5ad9895d1507d37c5fa760c9ae123b83689f0ac7f7cfeddef0a3,1588,47,128,41,13,0,0,0.15302267,0.07871537,0.22670025,9
AAPL-2024,AAPL,Apple,Technology,2024,0001308179-24-000010,8ce552ab4b0a33e6065ce906fa8ea04184782804b3afbecfe35bcaa4f005ed41,en_core_web_sm,3.8.0,6ae29cd24a7fe18b4c51fdf3e973717e3b47f0ef4f5a81b22b7d41caeb602a2f,1588,46,139,46,14,0,0,0.14168766,0.07619647,0.2418136,10
NVDA-2016,NVDA,NVIDIA,Technology,2016,0001045810-16-000229,74f7a62b7332feda193452643578ffc9af24b66d89c9c98494d471ceed5bf2d4,en_core_web_sm,3.8.0,3986b17c7f2319c1246899e0b3935211366bc6c3db3d0379c54d7425d509975e,1562,39,163,43,10,1,0,0.13316261,0.05633803,0.31498079,7
NVDA-2017,NVDA,NVIDIA,Technology,2017,0001045810-17-000063,1664d8ef8c4f64fde6204469748e2f56a7b3ea310eba1f090858f9c521aba082,en_core_web_sm,3.8.0,c7d244a187e5974eeeb4c92fa7d6de218caddfdd86ee5d979c931d893b5e92fb,1561,40,155,44,5,2,0,0.13837284,0.05893658,0.29147982,8
NVDA-2018,NVDA,NVIDIA,Technology,2018,0001045810-18-000047,ee4589fdbca5e96d7c5deee924bc0ffd4f375e990cce5026fd4b0aa8577966eb,en_core_web_sm,3.8.0,70f368d00cdd87c5cf5cd33dca78bc177bcd74f2dcb58b3c985707afeb880980,1567,33,161,43,13,2,0,0.12890874,0.06445437,0.30567964,5
NVDA-2019,NVDA,NVIDIA,Technology,2019,0001045810-19-000070,e10388bf9a0cff1312884951af006366cc47410c2347a0ce7448bd76df7111c4,en_core_web_sm,3.8.0,3d4e412e1658df6f3b6ab0f0cedc7477946ca6cf046c6124155b35db5ba258a1,1545,37,141,47,8,2,0,0.13656958,0.06925566,0.30161812,5
NVDA-2020,NVDA,NVIDIA,Technology,2020,0001045810-20-000055,189ab595d8283ff30a0b341a11da69efe7dbb8c705dcb200452410d061ce6491,en_core_web_sm,3.8.0,19b29e79b41510da6add1ae636aa4411e084a42e2ecc600aa18ffa7ecdbea55b,1559,31,152,41,12,2,0,0.13726748,0.06606799,0.30211674,5
NVDA-2021,NVDA,NVIDIA,Technology,2021,0001045810-21-000052,0f4db38108c16bb3b3b28e38584f3ada6fb8b84a23055bbe798b6a1c93afb725,en_core_web_sm,3.8.0,84381ea8fefd8e334b452a08b01b72ff9b37a8b3a7e38bb7f602d06ff58a7c88,1573,34,134,44,4,0,0,0.13477432,0.06802289,0.25365544,13
NVDA-2022,NVDA,NVIDIA,Technology,2022,0001045810-22-000067,fc65ffa8a849b555e88346ccd5be88dc4a730224548cd8712e29158fb3f8d3cf,en_core_web_sm,3.8.0,73d93d32898c4832f53a1db6986c1f749cb3979c90cb7081048df8ba5d063124,1532,36,152,51,6,1,0,0.13250653,0.0691906,0.27741514,13
NVDA-2023,NVDA,NVIDIA,Technology,2023,0001045810-23-000080,50ef66d4b45cdceac9b9690045a4abdecb5bf04a81cb27091e7a430b51771a60,en_core_web_sm,3.8.0,de9c57786badeb918e0ab5a901148e669eff204f09de1bcb50395cf38c1db58d,1543,38,148,54,5,0,0,0.13804277,0.06804925,0.28645496,13
NVDA-2024,NVDA,NVIDIA,Technology,2024,0001045810-24-000104,9714a36d4c690af4f3fc3b67f4dd474471558f026aa933ef679d29ba33f2d019,en_core_web_sm,3.8.0,7f85b0232f438cb43cfa37f90939f8743b88b57dca9bef40139ec095859ae07e,1571,36,144,56,5,0,0,0.13367282,0.06938256,0.29153405,12
GOOGL-2016,GOOGL,Alphabet,Technology,2016,0001308179-16-000384,9dca6067ab2c98424e23b11922f59f85df13155cf8c29b13db55987fe648d56f,en_core_web_sm,3.8.0,f0b04bda51f742545bb215cd6489ec1d96fc67d779f2baf82338a37459d2c190,1693,51,116,38,4,1,0,0.1470762,0.0980508,0.16715889,7
GOOGL-2017,GOOGL,Alphabet,Technology,2017,0001308179-17-000170,b711b04771dd0513dbfda26da9c40f1798c840b03d1d97874d90f354b33684a2,en_core_web_sm,3.8.0,ac05860477608753b7eb3e6adeb9e6b73282ff71a3969f2968b9639d8dd288cc,1667,65,115,33,5,0,0,0.14217157,0.10317936,0.16616677,7
GOOGL-2018,GOOGL,Alphabet,Technology,2018,0001308179-18-000222,0034c5c2fa4785df31da4df663cff61fcb186793532a38be6b68d012f807be2e,en_core_web_sm,3.8.0,37cf2c49985c6711eec9e8e02272492f78cb10be13b019ccf4cedf9918f3c07f,1664,64,119,32,5,0,0,0.14483173,0.10216346,0.16766827,9
GOOGL-2019,GOOGL,Alphabet,Technology,2019,0001308179-19-000205,0cb8fe47f4e7ec8bcd9ca9cf4799ecd7a187937ca18069a885bad70fe9b9030e,en_core_web_sm,3.8.0,d522457ec1927d00960abfcef33ea32749829ec487a310072ba4942cf00c84e7,1650,63,108,36,9,0,0,0.16606061,0.10787879,0.13939394,9
GOOGL-2020,GOOGL,Alphabet,Technology,2020,0001308179-20-000203,b6902e074ab39d602258d4284478ea50c9daa64ff305c6a8c30b07dce1465f5f,en_core_web_sm,3.8.0,157c9c374910eedf34d8cde95b5b8447b8605ce07eeb464f728ebfac5a50e2cb,1647,52,94,30,8,1,1,0.17607772,0.10989678,0.11414693,8
GOOGL-2021,GOOGL,Alphabet,Technology,2021,0001308179-21-000256,726fd36c550229b1f047c022d5afa0c60d28b6faa031c6ec274d4748585c6889,en_core_web_sm,3.8.0,31f12377934fcb58eeaab0c31d81aff586350fae935d434e3c718b682a11a76d,1646,54,89,26,2,4,1,0.18529769,0.10510328,0.10267315,10
GOOGL-2022,GOOGL,Alphabet,Technology,2022,0001308179-22-000262,87f7a7f4de06c7a9dd5677362bc30a53b5d5c45866c3246757c2d5058a2cd6e0,en_core_web_sm,3.8.0,d5bf74c7e61d502fd7a094ce611b0b06b0409dbe20d303e262b3accab003276d,1601,54,99,39,6,0,0,0.17176765,0.09931293,0.1430356,11
GOOGL-2023,GOOGL,Alphabet,Technology,2023,0001308179-23-000736,db18e70362414fce4e99cf2546434a9b96fa4972ff85e55cab268eaa0ddb4036,en_core_web_sm,3.8.0,cfff14c5e6c0d2b2e4235eaedee149fc1cd345c1dbbcba9af64238594889b115,1613,54,118,31,19,0,1,0.17482951,0.08679479,0.15747055,8
GOOGL-2024,GOOGL,Alphabet,Technology,2024,0001308179-24-000612,4220a1488416f44d612295dcbffee5dbac3cea3d1f6c1da35c4b491380a4e1a2,en_core_web_sm,3.8.0,9cbefe69f634cb3058a0bfaf88c7116ba7946c5634b6bab14c4f261bea0022e1,1614,49,117,39,16,0,0,0.17100372,0.08488228,0.17657993,8
META-2016,META,Meta Platforms,Technology,2016,0001326801-16-000074,d69e2660d7e355ede97fbff96ee64f183fef4ff3d31518e7575628a276946be2,en_core_web_sm,3.8.0,2e91d8222ea32ce1561770b052277048047e64b9212a12c66dadb249a9570937,1732,104,152,31,14,0,0,0.11893764,0.07678984,0.22575058,9
META-2017,META,Meta Platforms,Technology,2017,0001326801-17-000016,3bfe365b83e67fa1012891acc6dd2fb1738ea0f8918fa60fa7ca9783d21d49a5,en_core_web_sm,3.8.0,370ac99eea3d1202ca0c7c3f8a2683dfc9ba11b9cf8abd01445a6a6c19915ac0,1717,96,134,28,13,0,0,0.13919627,0.08561444,0.1875364,16
