entity_text,count
Board,1025
the Board of Directors,570
DEF,483
the Securities Exchange Act,423
Commission,401
Party,360
Company,332
Filing Party,299
UNITED STATES SECURITIES AND EXCHANGE COMMISSION,144
IBM,143
Intel,136
COVID-19,135
Definitive Proxy Statement ☐,131
Board of Directors,120
PricewaterhouseCoopers LLP,113
Microsoft,99
The Board of Directors,98
McDonald’s,96
Ernst & Young LLP,95
Outstanding Equity Awards,92
INFORMATION Proxy Statement Pursuant to Section 14(a,91
Notice,84
VOTE,77
Registrant,75
Definitive Proxy Statement ¨,74
ESG,68
Target,68
Corporation,67
SEC,66
Beneficial Ownership Reporting Compliance,65
the Proxy Statement,61
Occidental,60
Pacific Time,57
Deloitte & Touche LLP,55
NIKE,55
the Registrant x Filed,54
the Registrant ý Filed,54
KPMG LLP,53
General Counsel,51
Preliminary Proxy Statement o Confidential,50
Firm,50
Apple,48
Amazon,48
the Registrant o Check,47
Wells Fargo,47
Central Time,46
Johnson & Johnson,43
Merck,43
Board’s,42
the Securities and Exchange Commission,41
Definitive Additional Materials ¨ Soliciting Material Pursuant,40
Morgan Stanley,40
Tesla,39
Chevron,39
Advisory,38
ConocoPhillips,38
Definitive Proxy Statement Definitive Additional Materials Soliciting Material,37
Class A Stock,37
Board Meetings,36
Salesforce,35
Definitive Proxy Statement o,35
Bank of America,35
Valero Energy Corporation,35
Our Board,34
Class B Stock,34
the Record Date,33
Definitive Additional Materials o Soliciting Material,33
DEFINITIVE PROXY STATEMENT Table,32
EPS,32
the U.S. Securities and Exchange Commission,31
CD&A,30
ExxonMobil,30
Occidental’s,30
Apple Inc.,29
Independent Registered Public Accounting Firm,29
Definitive Additional Materials ¨ Soliciting Material,28
KEYTRUDA,28
The Proxy Statement,27
the Audit Committee,27
TSR,27
"EOG Resources, Inc.",27
Meta,26
BERKSHIRE HATHAWAY,26
Eastern,26
Abbott Laboratories,26
Ford,26
THE SECURITIES EXCHANGE ACT OF,25
Definitive Proxy Statement Definitive Additional Materials Soliciting Material Pursuant,25
Directors,25
American Express,25
the Compensation Committee,24
Eastern Time,24
• Vote,24
Phillips 66,24
the Private Securities Litigation Reform Act,23
the “Record Date,23
Definitive Additional Materials,23
Definitive Proxy Statement,23
Goldman Sachs,23
Microsoft Corporation,22
