year,topic_id,document_count,mean_topic_score,total_topic_score
2016,nmf_topic_1,48,0.07257782,3.4837354
2016,nmf_topic_2,48,0.04203662,2.01775779
2016,nmf_topic_3,48,0.05566165,2.67175934
2016,nmf_topic_4,48,0.01507999,0.72383939
2016,nmf_topic_5,48,0.02621186,1.25816941
2016,nmf_topic_6,48,0.0409847,1.96726576
2016,nmf_topic_7,48,0.01199506,0.57576302
2016,nmf_topic_8,48,0.0290146,1.39270076
2017,nmf_topic_1,48,0.06853746,3.28979824
2017,nmf_topic_2,48,0.05245327,2.51775719
2017,nmf_topic_3,48,0.05293836,2.5410414
2017,nmf_topic_4,48,0.01584935,0.76076885
2017,nmf_topic_5,48,0.02428544,1.16570131
2017,nmf_topic_6,48,0.03840588,1.84348232
2017,nmf_topic_7,48,0.01346187,0.64616963
2017,nmf_topic_8,48,0.02788454,1.33845803
2018,nmf_topic_1,47,0.05946584,2.79489441
2018,nmf_topic_2,47,0.06673101,3.1363577
2018,nmf_topic_3,47,0.04914552,2.30983937
2018,nmf_topic_4,47,0.01446198,0.67971294
2018,nmf_topic_5,47,0.02473308,1.16245463
2018,nmf_topic_6,47,0.03866112,1.81707274
2018,nmf_topic_7,47,0.01704141,0.80094626
2018,nmf_topic_8,47,0.02624022,1.23329021
2019,nmf_topic_1,49,0.0595898,2.91990041
2019,nmf_topic_2,49,0.07811529,3.82764926
2019,nmf_topic_3,49,0.0422755,2.0714995
2019,nmf_topic_4,49,0.01517838,0.74374059
2019,nmf_topic_5,49,0.0202168,0.99062336
2019,nmf_topic_6,49,0.03383647,1.65798712
2019,nmf_topic_7,49,0.02073944,1.01623241
2019,nmf_topic_8,49,0.02828162,1.38579943
2020,nmf_topic_1,49,0.04638391,2.27281152
2020,nmf_topic_2,49,0.0862074,4.22416277
2020,nmf_topic_3,49,0.03986256,1.95326523
2020,nmf_topic_4,49,0.02615346,1.28151936
2020,nmf_topic_5,49,0.01716271,0.84097284
2020,nmf_topic_6,49,0.03098682,1.51835425
2020,nmf_topic_7,49,0.02255582,1.10523539
2020,nmf_topic_8,49,0.02970722,1.45565357
2021,nmf_topic_1,48,0.03294447,1.58133452
2021,nmf_topic_2,48,0.10004861,4.80233345
2021,nmf_topic_3,48,0.03500454,1.68021773
2021,nmf_topic_4,48,0.04255472,2.04262647
2021,nmf_topic_5,48,0.01307807,0.62774733
2021,nmf_topic_6,48,0.02212134,1.0618241
2021,nmf_topic_7,48,0.02633977,1.26430897
2021,nmf_topic_8,48,0.02464504,1.18296177
2022,nmf_topic_1,48,0.02428198,1.16553481
2022,nmf_topic_2,48,0.07291547,3.49994241
2022,nmf_topic_3,48,0.02788954,1.33869805
2022,nmf_topic_4,48,0.07594922,3.64556255
2022,nmf_topic_5,48,0.01235283,0.59293598
2022,nmf_topic_6,48,0.01739652,0.83503305
2022,nmf_topic_7,48,0.04409774,2.11669174
2022,nmf_topic_8,48,0.02248574,1.07931574
2023,nmf_topic_1,49,0.01763456,0.86409339
2023,nmf_topic_2,49,0.06772248,3.31840154
2023,nmf_topic_3,49,0.01924457,0.94298391
2023,nmf_topic_4,49,0.08521235,4.17540514
2023,nmf_topic_5,49,0.01374292,0.673403
2023,nmf_topic_6,49,0.01532335,0.7508441
2023,nmf_topic_7,49,0.06234111,3.05471453
2023,nmf_topic_8,49,0.0199745,0.97875069
2024,nmf_topic_1,48,0.0165607,0.79491356
2024,nmf_topic_2,48,0.06791565,3.25995132
2024,nmf_topic_3,48,0.01598724,0.76738751
2024,nmf_topic_4,48,0.0829296,3.98062092
2024,nmf_topic_5,48,0.01168972,0.56110678
2024,nmf_topic_6,48,0.01279403,0.61411329
2024,nmf_topic_7,48,0.07236863,3.47369422
2024,nmf_topic_8,48,0.01601703,0.76881752
