year,theme_id,theme_label,company_years,presence_rate,mean_matches_per_10k_words,median_matches_per_10k_words,total_matches
2016,collaboration_and_partnership,Collaboration and partnership,48,1.0,2.185932,2.066392,542
2016,customers_and_service,Customers and service,48,0.979167,15.133316,14.306687,3471
2016,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",48,1.0,19.628065,18.690258,4387
2016,employees_and_workplace,Employees and workplace,48,1.0,22.613252,22.413909,5279
2016,environment_and_sustainability,Environment and sustainability,48,0.979167,7.233404,4.16604,1527
2016,health_safety_and_wellbeing,"Health, safety, and wellbeing",48,1.0,7.991297,6.935077,1762
2016,innovation_and_excellence,Innovation and excellence,48,0.958333,2.62229,1.840596,650
2016,integrity_and_ethics,Integrity and ethics,48,1.0,6.167751,5.836242,1431
2016,leadership_and_accountability,Leadership and accountability,48,1.0,22.850398,20.887814,4986
2016,purpose_and_identity,Purpose and identity,48,0.583333,0.343339,0.214424,80
2016,shareholders_and_performance,Shareholders and performance,48,1.0,34.132007,41.757856,7206
2016,social_impact_and_community,Social impact and community,48,0.9375,1.653226,1.290958,389
2017,collaboration_and_partnership,Collaboration and partnership,48,0.979167,1.904838,1.772088,446
2017,customers_and_service,Customers and service,48,1.0,15.064324,15.359028,3636
2017,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",48,1.0,21.091452,19.223424,4883
2017,employees_and_workplace,Employees and workplace,48,1.0,23.573707,23.038592,5668
2017,environment_and_sustainability,Environment and sustainability,48,0.979167,7.309882,4.124686,1584
2017,health_safety_and_wellbeing,"Health, safety, and wellbeing",48,1.0,7.533442,6.194416,1709
2017,innovation_and_excellence,Innovation and excellence,48,0.979167,2.8122,1.731583,683
2017,integrity_and_ethics,Integrity and ethics,48,1.0,6.73828,5.839565,1533
2017,leadership_and_accountability,Leadership and accountability,48,1.0,22.378459,20.346383,5100
2017,purpose_and_identity,Purpose and identity,48,0.645833,0.46154,0.277413,109
2017,shareholders_and_performance,Shareholders and performance,48,1.0,34.437103,37.767893,7425
2017,social_impact_and_community,Social impact and community,48,0.9375,1.775765,1.502734,416
2018,collaboration_and_partnership,Collaboration and partnership,47,0.978723,2.348449,2.217787,531
2018,customers_and_service,Customers and service,47,1.0,15.904649,14.448446,3718
2018,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",47,1.0,21.380746,20.328064,4824
2018,employees_and_workplace,Employees and workplace,47,1.0,25.931231,26.380874,5928
2018,environment_and_sustainability,Environment and sustainability,47,0.978723,8.018867,6.160518,1674
2018,health_safety_and_wellbeing,"Health, safety, and wellbeing",47,1.0,8.281943,7.16435,1783
2018,innovation_and_excellence,Innovation and excellence,47,0.957447,2.947387,1.775433,688
2018,integrity_and_ethics,Integrity and ethics,47,1.0,6.4293,5.651846,1418
2018,leadership_and_accountability,Leadership and accountability,47,1.0,24.379543,22.093814,5372
2018,purpose_and_identity,Purpose and identity,47,0.680851,0.641562,0.275334,145
2018,shareholders_and_performance,Shareholders and performance,47,1.0,35.480398,42.548775,7378
2018,social_impact_and_community,Social impact and community,47,0.93617,2.139101,1.575122,505
2019,collaboration_and_partnership,Collaboration and partnership,49,1.0,2.419535,2.433748,599
2019,customers_and_service,Customers and service,49,1.0,16.41104,15.617399,4061
2019,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",49,1.0,23.988675,22.874112,5753
2019,employees_and_workplace,Employees and workplace,49,1.0,28.435074,26.929392,6829
2019,environment_and_sustainability,Environment and sustainability,49,0.979592,9.628231,7.641365,2249
2019,health_safety_and_wellbeing,"Health, safety, and wellbeing",49,1.0,8.905942,7.227775,2023
2019,innovation_and_excellence,Innovation and excellence,49,0.979592,3.303548,2.824008,836
2019,integrity_and_ethics,Integrity and ethics,49,1.0,6.686372,5.902839,1560
2019,leadership_and_accountability,Leadership and accountability,49,1.0,24.762995,23.204751,5947
2019,purpose_and_identity,Purpose and identity,49,0.673469,0.798253,0.270416,210
2019,shareholders_and_performance,Shareholders and performance,49,1.0,36.751232,41.897978,7837
2019,social_impact_and_community,Social impact and community,49,0.959184,2.819495,2.061165,717
2020,collaboration_and_partnership,Collaboration and partnership,49,1.0,2.843886,2.42668,714
2020,customers_and_service,Customers and service,49,1.0,17.443135,16.837666,4473
2020,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",49,1.0,24.363716,22.243472,6230
2020,employees_and_workplace,Employees and workplace,49,1.0,30.017366,29.609384,7682
2020,environment_and_sustainability,Environment and sustainability,49,0.979592,11.886174,9.34409,2964
2020,health_safety_and_wellbeing,"Health, safety, and wellbeing",49,1.0,10.052869,8.570816,2446
2020,innovation_and_excellence,Innovation and excellence,49,0.979592,3.777397,3.169389,942
2020,integrity_and_ethics,Integrity and ethics,49,1.0,6.816527,6.108087,1697
2020,leadership_and_accountability,Leadership and accountability,49,1.0,25.268627,23.331539,6380
