ticker,company_name,sector,year,part1_observation_status,part1_gap_reason,part2_collection_status,part2_gap_reason,score_status,score_gap_reason,authenticity_index,cosine_alignment,l1_alignment,jaccard_theme_overlap,stated_theme_total_matches,disclosure_theme_total_matches,stated_top_themes,disclosure_top_themes,theme_gap_summary,part1_clean_text_sha256,part2_clean_text_sha256,part1_source_url,part2_sec_archive_url,taxonomy_version,part2_action_evidence_rate,part2_stakeholder_rate,part2_word_count,semantic_text_similarity,semantic_similarity_status,semantic_similarity_gap_reason,semantic_embedding_model,sector_percentile,sector_z_score
AAPL,Apple,Technology,2016,usable,,collected,,insufficient_stated_theme_signal,Part 1 is usable but has no deterministic theme matches.,,,,,0,697,[],"[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 262}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 109}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 103}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.375897, ""stated_minus_disclosure"": -0.375897}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""stated_share"": 0.0, ""disclosure_share"": 0.156385, ""stated_minus_disclosure"": -0.156385}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.147776, ""stated_minus_disclosure"": -0.147776}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""stated_share"": 0.0, ""disclosure_share"": 0.104735, ""stated_minus_disclosure"": -0.104735}, {""theme_id"": ""environment_and_sustainability"", ""theme_label"": ""Environment and sustainability"", ""stated_share"": 0.0, ""disclosure_share"": 0.083214, ""stated_minus_disclosure"": -0.083214}]",3311a17db0bb9795c7bfafa7db0ba7b1eed55e331388f738184ba28e4317c944,f47a8650d7820ac0ebc20e40e3e961fb7dcba93495cdb872bff319b1e39c8ed4,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312516422528/d79474ddef14a.htm,1.0.0-keyword-baseline,0.0571,0.201,47270,8.420028,computed,,sentence-transformers/all-MiniLM-L6-v2,,
AAPL,Apple,Technology,2017,usable,,collected,,insufficient_stated_theme_signal,Part 1 is usable but has no deterministic theme matches.,,,,,0,645,[],"[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 288}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 136}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""match_count"": 70}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.446512, ""stated_minus_disclosure"": -0.446512}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""stated_share"": 0.0, ""disclosure_share"": 0.210853, ""stated_minus_disclosure"": -0.210853}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""stated_share"": 0.0, ""disclosure_share"": 0.108527, ""stated_minus_disclosure"": -0.108527}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.083721, ""stated_minus_disclosure"": -0.083721}, {""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.0, ""disclosure_share"": 0.048062, ""stated_minus_disclosure"": -0.048062}]",3311a17db0bb9795c7bfafa7db0ba7b1eed55e331388f738184ba28e4317c944,3a2c643257710e31ca83aeb57cb2b639def5965da00505b60e62b561abfa1a16,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312517003753/d257185ddef14a.htm,1.0.0-keyword-baseline,0.0706,0.0951,32600,7.665107,computed,,sentence-transformers/all-MiniLM-L6-v2,,
AAPL,Apple,Technology,2018,usable,,missing,no_def14a_filing_for_calendar_year,missing_part2,Part 2 proxy disclosure is not collected.,,,,,13,0,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 6}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 2}]",[],"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.461538, ""disclosure_share"": 0.0, ""stated_minus_disclosure"": 0.461538}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.153846, ""disclosure_share"": 0.0, ""stated_minus_disclosure"": 0.153846}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""stated_share"": 0.153846, ""disclosure_share"": 0.0, ""stated_minus_disclosure"": 0.153846}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""stated_share"": 0.153846, ""disclosure_share"": 0.0, ""stated_minus_disclosure"": 0.153846}, {""theme_id"": ""environment_and_sustainability"", ""theme_label"": ""Environment and sustainability"", ""stated_share"": 0.076923, ""disclosure_share"": 0.0, ""stated_minus_disclosure"": 0.076923}]",f685df335f3168b35ef980aa9dc64c9810830877a2b2541f10997406221eba03,,https://www.apple.com/about/,,1.0.0-keyword-baseline,,,0,,missing_part2_text,Part 2 proxy clean text is unavailable.,,,
AAPL,Apple,Technology,2019,usable,,collected,,scored,,39.487327,31.903344,39.487327,45.454545,14,496,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 7}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 2}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 204}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 90}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 62}]","[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.5, ""disclosure_share"": 0.076613, ""stated_minus_disclosure"": 0.423387}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.41129, ""stated_minus_disclosure"": -0.41129}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.125, ""stated_minus_disclosure"": -0.125}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.142857, ""disclosure_share"": 0.040323, ""stated_minus_disclosure"": 0.102535}, {""theme_id"": ""environment_and_sustainability"", ""theme_label"": ""Environment and sustainability"", ""stated_share"": 0.071429, ""disclosure_share"": 0.022177, ""stated_minus_disclosure"": 0.049251}]",c515666f69b2563619572fe26cfc12718a3dbb222dd564865bbbd41c77858cd7,fe16f17ab54a3ad72d0e182f07f1a8652f80b86323329549be2a41d12608dc4e,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312519004664/d667873ddef14a.htm,1.0.0-keyword-baseline,0.0901,0.1261,27762,13.59989,computed,,sentence-transformers/all-MiniLM-L6-v2,0.35,-0.236039
AAPL,Apple,Technology,2020,usable,,collected,,scored,,46.270396,39.577737,46.270396,41.666667,12,572,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 5}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 2}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 207}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 77}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""match_count"": 73}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.361888, ""stated_minus_disclosure"": -0.361888}, {""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.416667, ""disclosure_share"": 0.078671, ""stated_minus_disclosure"": 0.337995}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.166667, ""disclosure_share"": 0.038462, ""stated_minus_disclosure"": 0.128205}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.122378, ""stated_minus_disclosure"": -0.122378}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""stated_share"": 0.166667, ""disclosure_share"": 0.127622, ""stated_minus_disclosure"": 0.039044}]",89babafd71d13d40398af7fa6b2dfb3e5ae4012e2a0342ec1bcf96d56b9252ad,66718f6df5ae372e4a1ebdb15335f523e6222fd5c90535b8f70e9db1fb2be73d,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312520001450/d799303ddef14a.htm,1.0.0-keyword-baseline,0.0376,0.188,29248,18.07705,computed,,sentence-transformers/all-MiniLM-L6-v2,0.55,0.281509
AAPL,Apple,Technology,2021,usable,,collected,,scored,,49.190939,48.007465,49.190939,50.0,14,618,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 5}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 3}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 193}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 91}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 80}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.312298, ""stated_minus_disclosure"": -0.312298}, {""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.357143, ""disclosure_share"": 0.085761, ""stated_minus_disclosure"": 0.271382}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.12945, ""stated_minus_disclosure"": -0.12945}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.142857, ""disclosure_share"": 0.050162, ""stated_minus_disclosure"": 0.092695}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""stated_share"": 0.214286, ""disclosure_share"": 0.147249, ""stated_minus_disclosure"": 0.067037}]",88181b238390681bdfb1553bf5c2136046b57db3708788373d452a720f680733,8cba184b803455958373265e60f6c83b254c42bfca146944f0dc633b623a2708,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312521001987/d767770ddef14a.htm,1.0.0-keyword-baseline,0.0439,0.2938,29616,22.523573,computed,,sentence-transformers/all-MiniLM-L6-v2,0.7,0.504346
AAPL,Apple,Technology,2022,usable,,collected,,scored,,52.057095,49.991747,52.057095,50.0,14,1191,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 5}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 3}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}]","[{""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 252}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 237}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 236}]","[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.357143, ""disclosure_share"": 0.049538, ""stated_minus_disclosure"": 0.307605}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.211587, ""stated_minus_disclosure"": -0.211587}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.198153, ""stated_minus_disclosure"": -0.198153}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.142857, ""disclosure_share"": 0.051217, ""stated_minus_disclosure"": 0.09164}, {""theme_id"": ""social_impact_and_community"", ""theme_label"": ""Social impact and community"", ""stated_share"": 0.0, ""disclosure_share"": 0.047859, ""stated_minus_disclosure"": -0.047859}]",2ee378f73b49e0641a6c0048437c9a21f4b1fab79f93e4c9a74a53fa95e9d14d,f4dcb85d8ec10283f6c778c95cb6fd6856319b21ce1c1ccb9e7e5d5563db36ec,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000119312522003583/d222670ddef14a.htm,1.0.0-keyword-baseline,0.0808,0.5584,56948,19.169987,computed,,sentence-transformers/all-MiniLM-L6-v2,0.816667,0.723033
AAPL,Apple,Technology,2023,usable,,collected,,scored,,48.970605,43.980279,48.970605,50.0,14,1249,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 5}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 3}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}]","[{""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 393}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 276}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 143}]","[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.357143, ""disclosure_share"": 0.040833, ""stated_minus_disclosure"": 0.31631}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.314652, ""stated_minus_disclosure"": -0.314652}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.114492, ""stated_minus_disclosure"": -0.114492}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.142857, ""disclosure_share"": 0.032826, ""stated_minus_disclosure"": 0.110031}, {""theme_id"": ""social_impact_and_community"", ""theme_label"": ""Social impact and community"", ""stated_share"": 0.0, ""disclosure_share"": 0.042434, ""stated_minus_disclosure"": -0.042434}]",e3aeb90308539c23866c0b12026426b54ac52620754b7235abec253f16211429,7cf39402dc027106cd293b75b543f9f43876402bc40c722912f8eaa36cdf9d74,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000130817923000019/laap2023_def14a.htm,1.0.0-keyword-baseline,0.0902,0.3718,45454,30.390629,computed,,sentence-transformers/all-MiniLM-L6-v2,0.683333,0.487534
AAPL,Apple,Technology,2024,usable,,collected,,scored,,51.531943,53.432217,51.531943,50.0,13,1180,"[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 5}, {""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 3}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 2}]","[{""theme_id"": ""diversity_equity_and_inclusion"", ""theme_label"": ""Diversity, equity, and inclusion"", ""match_count"": 285}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""match_count"": 237}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 159}]","[{""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.384615, ""disclosure_share"": 0.049153, ""stated_minus_disclosure"": 0.335463}, {""theme_id"": ""shareholders_and_performance"", ""theme_label"": ""Shareholders and performance"", ""stated_share"": 0.0, ""disclosure_share"": 0.200847, ""stated_minus_disclosure"": -0.200847}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.134746, ""stated_minus_disclosure"": -0.134746}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.153846, ""disclosure_share"": 0.051695, ""stated_minus_disclosure"": 0.102151}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""stated_share"": 0.076923, ""disclosure_share"": 0.120339, ""stated_minus_disclosure"": -0.043416}]",715d3d1ba9996fc14e0ba58c2a88553edd51d539a6a1e15cb42063a0056bf38f,8ce552ab4b0a33e6065ce906fa8ea04184782804b3afbecfe35bcaa4f005ed41,https://www.apple.com/about/,https://www.sec.gov/Archives/edgar/data/320193/000130817924000010/laapl2024_def14a.htm,1.0.0-keyword-baseline,0.1039,0.3442,46196,22.003057,computed,,sentence-transformers/all-MiniLM-L6-v2,0.783333,0.682964
ABBV,AbbVie,Healthcare,2016,usable,,collected,,scored,,57.303922,70.559466,57.303922,54.545455,20,408,"[{""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 5}, {""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""match_count"": 4}, {""theme_id"": ""innovation_and_excellence"", ""theme_label"": ""Innovation and excellence"", ""match_count"": 4}]","[{""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""match_count"": 69}, {""theme_id"": ""leadership_and_accountability"", ""theme_label"": ""Leadership and accountability"", ""match_count"": 67}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""match_count"": 64}]","[{""theme_id"": ""innovation_and_excellence"", ""theme_label"": ""Innovation and excellence"", ""stated_share"": 0.2, ""disclosure_share"": 0.014706, ""stated_minus_disclosure"": 0.185294}, {""theme_id"": ""employees_and_workplace"", ""theme_label"": ""Employees and workplace"", ""stated_share"": 0.0, ""disclosure_share"": 0.169118, ""stated_minus_disclosure"": -0.169118}, {""theme_id"": ""integrity_and_ethics"", ""theme_label"": ""Integrity and ethics"", ""stated_share"": 0.0, ""disclosure_share"": 0.122549, ""stated_minus_disclosure"": -0.122549}, {""theme_id"": ""customers_and_service"", ""theme_label"": ""Customers and service"", ""stated_share"": 0.25, ""disclosure_share"": 0.156863, ""stated_minus_disclosure"": 0.093137}, {""theme_id"": ""health_safety_and_wellbeing"", ""theme_label"": ""Health, safety, and wellbeing"", ""stated_share"": 0.2, ""disclosure_share"": 0.115196, ""stated_minus_disclosure"": 0.084804}]",f1a92a63266fc7bc978ca1ab1b5b3d3b718be1ff61c152c059f755f732ac9641,763640cac6e42946e1bb1f745ac88053ab1ed9cd26b16d994facff4b7beb7643,http://www.abbvie.com:80/about-us/home.html,https://www.sec.gov/Archives/edgar/data/1551152/000104746916011386/a2227878zdef14a.htm,1.0.0-keyword-baseline,0.1829,0.1463,35548,-2.497255,computed,,sentence-transformers/all-MiniLM-L6-v2,0.712329,0.683404
